,created_at,location,user,text
0,Mon Nov 01 09:22:43 +0000 2021,"Jakarta, Indonesia",InvestorID,Saham BBRI dan FREN Saham Paling Aktif Hari Ini https://t.co/qb3nUZiuIH https://t.co/9eSc694SZi
0,Mon Nov 01 09:18:41 +0000 2021,"Bandung, Indonesia",xcoalllsXe,"@Saham_fess Koreksi dulu , serok lagi 95"
0,Mon Nov 01 09:15:29 +0000 2021,Yogyakarta,DhaniArdiantto,@antikritik76 Sepertinya hasil menang atau kalah di 2 laga terakhir sama sekali tidak akan menggeser dejan sebagai… https://t.co/bCTeNkWcX0
0,Mon Nov 01 09:13:11 +0000 2021,Serang,UbayZakir,"@tempodotco Yup 😎 Majalah Tempo edisi 1 November 2021 menulis, dua perusahaan yang terafiliasi dengan Luhut, PT Tob… https://t.co/B45W21yQaL"
0,Mon Nov 01 09:12:08 +0000 2021,"Jakarta, Indonesia",InvestorID,"Indeks Terkoreksi, Saham BMRI Jadi Favorit Asing https://t.co/cTwnZjyMzY https://t.co/qqVlu9ZRnS"
0,Mon Nov 01 09:01:11 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Saham-Saham Paling Melonjak Awal November, ATAP dan BOBA Jawara https://t.co/j5V8AMw1uN"
0,Mon Nov 01 08:57:08 +0000 2021,"Jakarta, Indonesia",InvestorID,"IHSG Terkoreksi, Saham KARW, SWAT, IATA, SMDR dan BOBA Paling Cuan https://t.co/e4oMT09jQ9 https://t.co/V3WXcn9eDq"
0,Mon Nov 01 08:53:59 +0000 2021,"Yogyakarta, ID ",bangnapis,"@profesor_saham @rachelbochell @tradingforlyf Tetap putus asa, jangan semangat prof"
0,Mon Nov 01 08:53:59 +0000 2021,Bandung,Martabak_LEGIT,"Investasi Patungan Kuliner Martabak invest mulai dari 5 Juta/Saham, bagi hasil setara 100Ribu/bulan, kontrak 2 thn. Join Invest Now...!"
0,Mon Nov 01 08:49:33 +0000 2021,"West Java, Indonesia",alfarid100,@Saham_fess Pompom terus ya haha
0,Mon Nov 01 08:40:04 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Indeks Bisnis-27 Ditutup Melemah, Saham EMTK, TLKM, MIKA Tertekan https://t.co/OLyF8Igkuo"
0,Mon Nov 01 08:35:46 +0000 2021,Tangerang,bonie0959,Saham Perusahaan Alkesnya kan juga Pejabat Pemerintahan. Hehehe.. https://t.co/W85UnJOuwy
0,Mon Nov 01 08:31:08 +0000 2021,Jakarta,kalderanews,Sudah Siap Alami Penyesalan Demi Penyesalan dengan Investasi Saham? - https://t.co/qwmd4ueiSD via @Shareaholic
0,Mon Nov 01 08:31:05 +0000 2021,"Sleman, Indonesia",Taufanafid,@blalhcwodddhjk @adreafarandika bjong tutup nek koe muleh jogja mas.. aku saiki pemilik saham 70% bjong
0,Mon Nov 01 08:22:04 +0000 2021,"Sleman, Yogyakarta",MuhammadToha121,@eljadoodle @cahbola69 Ketoke sik iso nentokke starting XI ki pemegang saham terbesar udu pelatih
0,Mon Nov 01 08:17:52 +0000 2021,yogyakarta,RoidMukhtar,@yulioantoni Beli saham pabrik kosmetik bos ed
0,Mon Nov 01 08:16:58 +0000 2021,"Jakarta, Indonesia",noor_rahman92,"Awal bulan November kurang bersahabat, $IHSG berbalik arah di sesi 2. Waspada jika besok breakdown MA20, next suppo… https://t.co/rSdg4O9zOI"
0,Mon Nov 01 08:13:07 +0000 2021,"Jakarta, Indonesia",Bisniscom,10 Broker Saham dengan Transaksi Jumbo Sepanjang Oktober 2021 https://t.co/md0rcwx92k
0,Mon Nov 01 08:05:41 +0000 2021,"Jakarta, Indonesia",InvestorID,"IHSG Awal November Terpangkas 0,58%, Saham ATAP dan BOBA Auto Reject Atas https://t.co/SZBXmKESjy https://t.co/uZLC6zVZA1"
0,Mon Nov 01 08:03:51 +0000 2021,"Kulon Progo, Yogyakarta",juliusandikaa,@Saham_fess Tp 75 % sisanya tunggu besok
0,Mon Nov 01 08:02:32 +0000 2021,YOGYAKARTA,rifkie_haha,@Liga1Match @BorneoSMR @PSSleman @BANKBRI_ID Jalannya pertandingan sudah tertebak. Serangan PSS dari sisi… https://t.co/lAaC7wxpYi
0,Mon Nov 01 08:02:13 +0000 2021,"Bandung, Jawa Barat",siapayagataudeh,"@Saham_fess tp aja ah, serem masih awal volatilitynya"
0,Mon Nov 01 07:56:00 +0000 2021,"Sleman, Indonesia",aflah_ahmad_,@arifarre @PSSleman @irawan_arthur Bismillah @irawan_arthur invest saham at Klodjen Djaja 1956 🙏🏼🙏🏼🙏🏼 https://t.co/4ibZP4RR37
0,Mon Nov 01 07:48:58 +0000 2021,"Pati, Indonesia",frizkiramadhani,"@Saham_fess Boleh, ketuk DM aja"
0,Mon Nov 01 07:46:09 +0000 2021,"Yogyakarta, Indonesia",haizayn_,"@bernamakal @haloyogs G dulu, km nak saham og, takut sama kerugian. wkwkwkw"
0,Mon Nov 01 07:46:08 +0000 2021,"Jakarta, Indonesia",Bisniscom,3 Hal yang Wajib Diperhatikan Investor Saham Pemula https://t.co/UQjcZaCCHc
0,Mon Nov 01 07:46:06 +0000 2021,"Jakarta, Indonesia",Bisniscom,"ASSA Memoles Kinerja Anteraja Hingga Logistik, Harga Saham Mendaki Seberapa Tinggi? https://t.co/Jh5xpRWz3V"
0,Mon Nov 01 07:45:10 +0000 2021,"Sleman, Indonesia",RagilSempronk,Bagus munyeng menjadi korban antara cintanya pada klub melawan ambisi ibu pemilik saham yang memanjakan anaknya. Asu bajingan!!!
0,Mon Nov 01 07:44:11 +0000 2021,"Jakarta, Indonesia",Annisarahmanida,"Ketika yang lain investasi ke emas, bitcoin, saham, dll. Saya memilih investasi ke diri sendiri wkwk"
0,Mon Nov 01 07:42:46 +0000 2021,jakarta,Blackpadawann,gila watchlist saham gw kebakaran semua
0,Mon Nov 01 07:37:34 +0000 2021,"Jakarta, Indonesia",Bisniscom,"ASSA Memoles Kinerja Anteraja, Harga Saham Mendaki Seberapa Tinggi? https://t.co/ARvWrK59WB"
0,Mon Nov 01 07:35:12 +0000 2021,Brebes - Jakarta,dybaleee,"@Saham_fess kalo emang uangnya bener2 ngga dipake, masukin reksadana pasar uang aja"
0,Mon Nov 01 07:33:50 +0000 2021,"DKI Jakarta, Indonesia",hiendo_junaidi,"Buruan slot terbatas.

#saham #investasi #trading #miraeasset #yuknabungsaham #idx https://t.co/PeTzWTzdNW"
0,Mon Nov 01 07:33:03 +0000 2021,"Bandung, Jawa Barat",hafidzhere,"@MRizkyP ""kowe moco koran sarungan,""
""Aku blonjo dasteran""

Fix lakinya maen saham 🤣"
0,Mon Nov 01 07:24:24 +0000 2021,"Jakarta Selatan, DKI Jakarta",htm_007,"Saham SRIL @SritexIndonesia hingga awal November ini blum dapat diperdagangkan kembali di @IDX_BEI 
Apakah penyebab… https://t.co/EhxdlFgUDI"
0,Mon Nov 01 07:23:46 +0000 2021,"Jakarta Selatan, DKI Jakarta",Jual003,apakah investasi saham haram
0,Mon Nov 01 07:17:31 +0000 2021,Semarang,psyycamore,"@mrndalstr @bankbsi_id Gaji 2 digit ya (tahun depan aminn) udah gw planning buat ditabung sbg dana darurat, asurans… https://t.co/IWwAOQh10Y"
0,Mon Nov 01 07:14:10 +0000 2021,"Purbalingga,Jawa tengah",fandihikmawan,"Bulan 1, beli 8 lot saham DMAS di harga 228. 

Total porto 800 lembar saham dg average 228. https://t.co/38A8ZiOXZ8"
0,Mon Nov 01 07:12:37 +0000 2021,"Jakarta, Indonesia",Bisniscom,Transaksi Broker Saham hingga Akhir 2021 Diperkirakan Stabil https://t.co/WMPvoyuqIt
0,Mon Nov 01 07:02:06 +0000 2021,"Pekalongan, Jawa Tengah",irohiro22,aku pas mau beli saham jyp buat ambil alih day6 https://t.co/eyeFyWuPFP
0,Mon Nov 01 06:58:02 +0000 2021,"DKI Jakarta, Indonesia",T_IndonesiaPost,"Indeks Harga Saham Gabungan (IHSG) akhirnya mampu finish di zona hijau di sesi I perdagangan perdana pekan ini, Sen… https://t.co/aTzbRj2HOX"
